name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
scix.normal.landing.post-load.and-search,general,3158,112,13,2537,3822,"11/4/2024, 3:03:49 PM","11/4/2024, 4:43:13 PM"
scix.normal.landing.pre-load.or-search,general,3915,197,13,2563,4820,"11/4/2024, 3:03:48 PM","11/4/2024, 4:43:12 PM"
scix.normal.landing.post-load.or-search,general,3310,154,13,2206,4168,"11/4/2024, 3:03:49 PM","11/4/2024, 4:43:13 PM"
scix.normal.landing.pre-load.pub-date,general,3477,105,13,2716,4266,"11/4/2024, 3:03:50 PM","11/4/2024, 4:43:13 PM"
scix.normal.landing.post-load.pub-date,general,2851,78,13,2286,3465,"11/4/2024, 3:03:50 PM","11/4/2024, 4:43:13 PM"
scix.normal.landing.pre-load.not-search,general,3861,154,13,2700,4745,"11/4/2024, 3:03:49 PM","11/4/2024, 4:43:12 PM"
scix.normal.landing.post-load.not-search,general,3247,117,13,2463,3890,"11/4/2024, 3:03:49 PM","11/4/2024, 4:43:13 PM"
scix.normal.landing.pre-load.cited-by-author,general,3445,177,13,2063,4243,"11/4/2024, 3:03:53 PM","11/4/2024, 4:43:16 PM"
scix.normal.landing.post-load.cited-by-author,general,2983,140,13,1859,3645,"11/4/2024, 3:03:53 PM","11/4/2024, 4:43:16 PM"
scix.normal.landing.pre-load.title-citations,general,3333,162,13,2033,3995,"11/4/2024, 3:03:53 PM","11/4/2024, 4:43:16 PM"
scix.normal.landing.post-load.title-citations,general,2806,135,13,1777,3386,"11/4/2024, 3:03:54 PM","11/4/2024, 4:43:17 PM"
scix.normal.landing.pre-load.full-text-references,general,2359,82,13,2122,3127,"11/4/2024, 3:03:57 PM","11/4/2024, 4:43:20 PM"
scix.normal.landing.post-load.full-text-references,general,2114,66,13,1908,2637,"11/4/2024, 3:03:57 PM","11/4/2024, 4:43:20 PM"
scix.normal.landing.pre-load.affiliation-references,general,2381,60,13,2089,2839,"11/4/2024, 3:03:57 PM","11/4/2024, 4:43:20 PM"
scix.normal.landing.post-load.affiliation-references,general,2082,52,13,1781,2489,"11/4/2024, 3:03:57 PM","11/4/2024, 4:43:20 PM"
scix.normal.landing.pre-load.pub-type-citations-year,general,2320,63,13,2050,2728,"11/4/2024, 3:03:59 PM","11/4/2024, 4:43:22 PM"
scix.normal.landing.post-load.pub-type-citations-year,general,2082,51,13,1868,2441,"11/4/2024, 3:03:59 PM","11/4/2024, 4:43:22 PM"
scix.normal.landing.pre-load.author-citations-title-abstract,general,2051,53,12,1880,2538,"11/4/2024, 3:05:21 PM","11/4/2024, 4:44:44 PM"
scix.normal.landing.post-load.author-citations-title-abstract,general,1759,35,12,1617,2019,"11/4/2024, 3:05:21 PM","11/4/2024, 4:44:45 PM"
bbb.throttled.landing.pre-load.year-range,general,8803,81,12,8395,9240,"11/4/2024, 3:05:25 PM","11/4/2024, 4:44:48 PM"
bbb.throttled.landing.post-load.year-range,general,3133,42,12,2932,3392,"11/4/2024, 3:05:31 PM","11/4/2024, 4:44:54 PM"
bbb.throttled.landing.pre-load.first-author,general,8951,129,12,8386,9638,"11/4/2024, 3:05:25 PM","11/4/2024, 4:44:48 PM"
bbb.throttled.landing.post-load.first-author,general,3115,35,12,2949,3450,"11/4/2024, 3:05:31 PM","11/4/2024, 4:44:54 PM"
bbb.throttled.landing.pre-load.citations,general,8880,107,12,8339,9525,"11/4/2024, 3:05:25 PM","11/4/2024, 4:44:48 PM"
bbb.throttled.landing.post-load.citations,general,3184,45,12,2998,3602,"11/4/2024, 3:05:31 PM","11/4/2024, 4:44:53 PM"
bbb.throttled.landing.pre-load.title-keyword,general,9021,124,12,8335,9692,"11/4/2024, 3:05:31 PM","11/4/2024, 4:44:54 PM"
bbb.throttled.landing.post-load.title-keyword,general,3084,23,12,2954,3207,"11/4/2024, 3:05:37 PM","11/4/2024, 4:44:59 PM"
bbb.throttled.landing.pre-load.full-text,general,8916,87,12,8469,9467,"11/4/2024, 3:05:34 PM","11/4/2024, 4:44:56 PM"
bbb.throttled.landing.post-load.full-text,general,3128,25,12,3025,3320,"11/4/2024, 3:05:40 PM","11/4/2024, 4:45:02 PM"
bbb.throttled.landing.pre-load.affiliation,general,8914,94,12,8482,9611,"11/4/2024, 3:05:34 PM","11/4/2024, 4:44:57 PM"
bbb.throttled.landing.post-load.affiliation,general,3197,37,12,3059,3446,"11/4/2024, 3:05:40 PM","11/4/2024, 4:45:02 PM"
bbb.throttled.landing.pre-load.abstract-keyword,general,8767,111,12,8330,9547,"11/4/2024, 3:05:34 PM","11/4/2024, 4:44:57 PM"
bbb.throttled.landing.post-load.abstract-keyword,general,3117,29,12,2872,3263,"11/4/2024, 3:05:40 PM","11/4/2024, 4:45:03 PM"
bbb.throttled.landing.pre-load.pub-type,general,9002,120,13,8118,9653,"11/4/2024, 3:05:40 PM","11/4/2024, 4:45:02 PM"
bbb.throttled.landing.post-load.pub-type,general,3157,49,13,2689,3365,"11/4/2024, 3:05:47 PM","11/4/2024, 4:45:08 PM"
bbb.throttled.landing.pre-load.keyword-search,general,8931,84,12,8579,9583,"11/4/2024, 3:05:43 PM","11/4/2024, 4:45:05 PM"
bbb.throttled.landing.post-load.keyword-search,general,3189,17,12,3128,3312,"11/4/2024, 3:05:49 PM","11/4/2024, 4:45:11 PM"
bbb.throttled.landing.pre-load.or-search,general,8875,121,12,8148,9530,"11/4/2024, 3:05:43 PM","11/4/2024, 4:45:06 PM"
bbb.throttled.landing.post-load.or-search,general,3035,41,12,2668,3217,"11/4/2024, 3:05:49 PM","11/4/2024, 4:45:11 PM"
bbb.throttled.landing.pre-load.and-search,general,8239,87,12,7832,8932,"11/4/2024, 3:05:50 PM","11/4/2024, 4:45:11 PM"
bbb.throttled.landing.post-load.and-search,general,2610,21,12,2500,2788,"11/4/2024, 3:05:56 PM","11/4/2024, 4:45:17 PM"
bbb.throttled.landing.pre-load.not-search,general,8632,113,12,8258,9562,"11/4/2024, 3:05:52 PM","11/4/2024, 4:45:14 PM"
bbb.throttled.landing.post-load.not-search,general,3009,16,12,2921,3102,"11/4/2024, 3:05:58 PM","11/4/2024, 4:45:19 PM"
bbb.throttled.landing.pre-load.pub-date,general,7848,23,12,7722,7999,"11/4/2024, 3:05:58 PM","11/4/2024, 4:45:20 PM"
bbb.throttled.landing.post-load.pub-date,general,2421,11,12,2349,2491,"11/4/2024, 3:06:04 PM","11/4/2024, 4:45:25 PM"
